city,cloudiness,date,humidity,latitude,longitude,maximum_temperature,wind_speed
yaring,73,1562871620,76,6.87,101.37,82.11,7.7
leningradskiy,33,1562871356,68,69.38,178.42,49.35,8.68
dolores,100,1562871615,72,-33.53,-58.22,70.0,8.01
general cepeda,75,1562871621,39,25.38,-101.48,82.4,8.05
davydovka,93,1562871622,87,51.16,39.42,58.89,4.56
narsaq,75,1562871326,66,60.91,-46.05,53.6,4.7
baculin,99,1562871623,89,7.45,126.58,70.59,5.26
uwajima,18,1562871623,94,33.22,132.57,68.25,2.91
camapua,0,1562871624,30,-19.53,-54.04,81.21,8.32
llanes,0,1562871624,76,43.42,-4.75,73.0,1.01
cordoba,0,1562871625,24,-27.78,-67.24,69.15,5.66
butembo,100,1562871625,97,0.12,29.29,62.31,2.55
cumra,40,1562871626,63,37.57,32.77,66.2,17.22
tabory,55,1562871626,53,53.89,19.53,66.0,3.4
presidencia roque saenz pena,0,1562871471,38,-26.79,-60.44,85.53,11.18
birao,100,1562871627,88,10.3,22.78,71.85,6.4
san lawrenz,20,1562871628,74,36.06,14.2,80.6,8.05
iqaluit,90,1562871345,81,63.75,-68.52,44.6,9.17
hobyo,17,1562871343,71,5.35,48.53,78.87,21.92
songjianghe,92,1562871629,96,42.18,127.48,59.61,2.75
adrar,32,1562871411,8,27.87,-0.29,114.8,5.82
yulara,100,1562871414,31,-25.24,130.99,46.4,3.36
dunda,40,1562871630,94,30.62,78.32,80.6,3.36
ribeira do pombal,46,1562871630,55,-10.84,-38.54,81.57,10.63
hami,100,1562871554,32,42.84,93.51,79.23,22.66
riyadh,0,1562871397,7,24.63,46.72,98.6,8.05
odessa,1,1562871631,38,31.85,-102.37,93.99,9.17
nova era,0,1562871632,41,-19.77,-43.04,78.8,9.17
priiskovyy,18,1562871632,62,51.93,116.63,62.85,1.95
carutapera,14,1562871633,84,-1.2,-46.02,80.31,8.48
baykit,3,1562871597,74,61.68,96.39,47.37,5.66
khasan,100,1562871634,99,42.43,130.64,57.45,1.95
celestun,97,1562871598,80,20.87,-90.4,81.39,13.44
bilibino,92,1562871362,42,68.06,166.44,70.23,5.17
copiapo,0,1562871635,51,-27.37,-70.33,60.8,6.93
itarema,51,1562871366,63,-2.92,-39.92,84.09,12.08
coos bay,90,1562871636,88,43.37,-124.22,75.99,4.7
maningrida,95,1562871636,91,-12.05,134.23,65.73,7.34
lyuban,100,1562871637,90,52.8,28.0,58.35,6.53
portland,90,1562871525,88,43.66,-70.25,80.6,8.05
yekepa,28,1562871638,90,7.58,-8.54,77.07,2.82
santa cruz,44,1562871573,49,-6.22,-36.02,82.47,13.02
severo-kurilsk,100,1562871383,96,50.68,156.12,42.69,11.21
kieta,100,1562871577,84,-6.22,155.63,78.69,11.99
dongsheng,97,1562871429,71,29.72,112.52,76.17,4.47
wageningen,75,1562871640,60,51.98,5.66,75.0,8.05
erzin,40,1562871586,83,36.95,36.2,84.2,9.17
buchanan,75,1562871612,94,5.88,-10.05,75.2,13.18
seoul,90,1562871403,94,37.57,126.98,69.8,2.24
ahuimanu,75,1562871641,83,21.44,-157.84,82.99,13.87
dingle,36,1562871325,86,11.0,122.67,74.91,2.04
ljungby,75,1562871642,56,56.83,13.94,69.01,1.12
labuan,75,1562871602,83,5.28,115.24,78.8,2.24
roura,27,1562871438,88,4.73,-52.33,77.0,5.82
coffs harbour,0,1562871643,87,-30.3,153.13,44.6,4.7
mount isa,97,1562871643,33,-20.73,139.49,57.2,10.29
bani walid,0,1562871644,32,31.76,14.0,87.69,11.97
laurel,40,1562871602,55,39.1,-76.85,91.99,10.29
beyneu,0,1562871627,24,45.32,55.19,91.29,4.32
recodo,1,1562871645,89,13.03,121.49,69.51,3.44
pasighat,100,1562871646,99,28.06,95.33,67.35,3.02
taoudenni,19,1562871646,9,22.68,-3.98,109.83,9.24
brovary,0,1562871647,82,50.51,30.79,60.01,4.47
talnakh,53,1562871126,62,69.49,88.39,53.6,4.47
zhanakorgan,47,1562871647,15,43.91,67.25,91.83,18.41
homer,1,1562871635,82,59.64,-151.54,60.8,13.27
viedma,100,1562871622,42,-40.81,-62.99,58.89,6.31
luganville,100,1562871326,98,-15.51,167.18,71.67,2.55
inirida,92,1562871635,65,3.87,-67.92,83.19,3.4
saskylakh,100,1562871352,95,71.97,114.09,53.67,1.9
igarka,68,1562871563,50,67.47,86.57,57.27,11.32
mantua,40,1562871650,53,45.16,10.79,81.0,4.7
sao joao da barra,0,1562871466,34,-21.64,-41.05,82.4,4.7
saint-pierre,0,1562871394,50,48.95,4.24,78.8,2.24
henties bay,0,1562871652,91,-22.12,14.28,55.0,3.0
oga,20,1562871652,76,46.46,10.35,59.0,17.22
los llanos de aridane,20,1562871355,69,28.66,-17.92,73.4,10.29
saint anthony,1,1562871376,28,43.97,-111.68,82.99,12.75
mae hong son,100,1562871653,97,19.3,97.96,70.05,2.77
belaya gora,96,1562871654,86,68.54,146.19,64.29,9.31
taksimo,16,1562871654,77,56.36,114.84,55.65,0.56
pizarro,86,1562871655,78,4.95,-77.37,79.95,7.31
nantucket,90,1562871447,88,41.28,-70.1,80.01,10.29
kruisfontein,0,1562871384,83,-34.0,24.73,54.75,12.71
guarapari,0,1562871616,61,-20.67,-40.5,77.0,11.41
lewiston,90,1562871537,88,44.1,-70.21,78.8,8.05
independencia,1,1562871657,72,20.06,-97.05,77.97,5.93
ayios thomas,0,1562871658,88,34.72,32.73,84.99,8.05
vostok,60,1562871325,93,46.45,135.83,60.15,2.86
orlovka,0,1562871658,30,42.75,75.59,63.57,10.27
vestmannaeyjar,90,1562871353,93,63.44,-20.27,51.8,14.99
concepcion del uruguay,100,1562871659,63,-32.48,-58.24,75.0,1.99
la ronge,90,1562871352,87,55.1,-105.3,59.0,5.82
vidim,0,1562871660,52,50.47,14.53,71.01,8.05
istanbul,0,1562871604,60,41.01,28.95,73.0,6.93
khuzhir,68,1562871661,71,53.19,107.35,60.15,0.16
sao cristovao,51,1562871661,90,-11.01,-37.21,73.65,8.79
sao filipe,50,1562871363,82,14.9,-24.5,72.21,11.99
atikokan,7,1562871457,39,48.76,-91.62,78.33,10.2
bollnas,45,1562871663,49,61.35,16.39,59.97,6.29
sabang,0,1562871659,94,13.8,121.11,73.65,1.54
amahai,39,1562871663,80,-3.31,129.0,75.63,12.12
alofi,35,1562871409,100,-19.06,-169.92,73.4,8.05
jawhar,64,1562871664,93,19.91,73.23,78.15,7.36
kimbe,100,1562871665,81,-5.56,150.15,70.59,4.45
laguna,40,1562871269,74,16.17,-88.94,87.8,6.93
estancia,1,1562871666,37,34.76,-106.06,93.99,9.17
namibe,30,1562871327,88,-15.19,12.15,65.91,12.93
vieux-habitants,9,1562871666,83,16.06,-61.77,78.8,9.17
tondano,40,1562871667,94,1.3,124.91,73.4,2.24
mentakab,1,1562871667,97,3.49,102.35,72.75,0.58
bethanien,0,1562871668,17,-26.5,17.16,59.43,9.55
manavalakurichi,40,1562871668,88,8.13,77.3,80.6,3.36
lamu,61,1562871669,85,35.77,102.37,45.57,2.84
torrington,1,1562871669,13,42.06,-104.18,95.0,10.29
chute-aux-outardes,1,1562871670,67,49.12,-68.38,64.4,13.87
bahia blanca,100,1562871453,59,-38.72,-62.27,59.07,2.3
chiusi,0,1562871670,36,43.02,11.95,80.6,3.36
okato,41,1562871671,90,-39.19,173.88,54.0,1.99
olmos,0,1562871672,43,-5.99,-79.75,81.21,14.36
hay river,75,1562871442,29,60.82,-115.79,78.8,16.11
vila,0,1562871392,60,45.18,8.4,79.0,5.82
namatanai,100,1562871390,82,-3.66,152.44,77.79,19.8
kloulklubed,75,1562871534,83,7.04,134.26,80.6,8.05
saint-joseph,0,1562871465,83,43.56,6.97,86.0,4.7
billings,40,1562871674,31,45.79,-108.5,89.01,9.17
filingue,86,1562871378,23,14.35,3.32,100.11,8.21
neepawa,75,1562871644,61,50.23,-99.46,78.8,23.04
puerto colombia,40,1562871332,62,10.99,-74.96,89.6,8.05
ostrovnoy,100,1562871562,96,68.05,39.51,39.81,30.33
antalaha,54,1562871675,98,-14.9,50.28,63.21,2.1
imbituba,0,1562871614,31,-28.24,-48.67,78.8,5.82
quelimane,0,1562871676,73,-17.88,36.89,71.6,3.36
morondava,0,1562871677,57,-20.3,44.28,76.89,17.69
san quintin,0,1562871417,89,17.54,120.52,75.81,2.82
port keats,18,1562871678,50,-14.25,129.55,68.25,9.1
vizinga,38,1562871678,82,61.08,50.08,46.47,1.36
seminole,1,1562871679,33,32.72,-102.64,93.2,5.82
chirongui,0,1562871679,83,-12.93,45.15,77.0,12.75
penzance,0,1562871647,88,50.12,-5.53,70.0,6.93
kaeo,41,1562871337,95,-35.1,173.78,50.0,9.84
ketchikan,90,1562871677,93,55.34,-131.65,60.8,11.41
kargasok,49,1562871680,82,59.06,80.87,63.57,6.08
severo-yeniseyskiy,0,1562871562,69,60.37,93.04,49.53,3.42
moose factory,90,1562871445,93,51.26,-80.61,53.6,13.87
polunochnoye,100,1562871572,86,60.87,60.43,55.29,5.64
khalkhal,29,1562871682,50,37.62,48.53,68.97,2.39
marawi,92,1562871683,94,8.0,124.29,73.99,7.0
teguise,40,1562871418,65,29.06,-13.56,77.0,13.87
rawson,0,1562871343,39,-43.3,-65.11,53.85,10.31
ulaangom,100,1562871363,82,49.98,92.07,57.63,9.01
bilma,49,1562871647,7,18.69,12.92,97.05,2.42
pacific grove,1,1562871347,39,36.62,-121.92,84.0,4.7
pierre,1,1562871685,51,44.37,-100.35,84.2,17.22
fallon,1,1562871686,45,46.84,-105.12,84.2,9.51
quatre cocos,20,1562871388,82,-20.21,57.76,68.0,6.93
vilyuysk,26,1562871592,70,63.75,121.63,63.39,1.1
belyy yar,0,1562871687,82,53.6,91.39,60.8,8.95
szob,0,1562871687,68,47.82,18.87,69.01,3.36
richards bay,0,1562871434,81,-28.77,32.06,71.49,20.6
jalu,0,1562871422,13,29.03,21.55,97.23,8.43
codrington,0,1562871355,87,-28.95,153.24,55.99,6.93
djibo,0,1562871689,27,14.1,-1.63,96.87,5.61
sungaipenuh,75,1562871651,95,-2.08,101.38,72.03,2.98
socorro,1,1562871690,20,31.65,-106.3,99.0,5.82
nizhniy kuranakh,0,1562871690,94,58.84,125.49,58.89,3.06
okhotsk,0,1562871583,90,59.36,143.24,48.09,0.27
farso,75,1562871691,93,56.77,9.34,64.99,3.36
mastic beach,75,1562871692,78,40.77,-72.85,84.99,9.17
erenhot,31,1562871692,35,43.65,111.97,74.91,2.24
beloha,29,1562871693,82,-25.17,45.06,63.21,4.56
eyl,62,1562871344,61,7.98,49.82,81.03,24.02
saurimo,0,1562871693,28,-9.66,20.4,70.41,4.9
bamako,40,1562871694,55,12.65,-8.0,89.6,3.36
yanam,100,1562871694,83,16.73,82.22,81.75,3.91
kingsport,75,1562871427,94,36.55,-82.56,80.01,3.36
ussel,75,1562871695,66,45.55,2.31,75.99,5.01
west wendover,1,1562871696,14,40.74,-114.07,89.6,10.29
assiniboia,78,1562871635,51,49.63,-105.99,77.07,13.06
aklavik,75,1562871430,66,68.22,-135.01,48.2,13.87
bay-khaak,100,1562871697,65,51.16,94.47,61.05,8.19
hamilton,75,1562871103,69,43.26,-79.87,87.01,17.22
sola,68,1562871611,37,-3.17,33.8,75.99,12.17
ejby,30,1562871698,68,55.69,11.85,66.99,2.24
ocos,20,1562871698,49,14.51,-92.19,91.4,6.93
zakamensk,60,1562871698,96,50.38,103.29,53.85,5.39
poum,40,1562871404,72,41.28,20.71,62.6,4.7
roald,21,1562871699,87,62.58,6.12,64.4,14.99
hualmay,66,1562871700,87,-11.1,-77.61,62.49,12.35
haikou,0,1562871624,94,20.04,110.34,77.0,4.47
solhan,0,1562871701,42,38.97,41.05,62.49,4.81
berdigestyakh,83,1562871543,77,62.1,126.7,60.69,3.76
manokwari,9,1562871702,81,-0.87,134.08,71.85,4.52
ferme-neuve,96,1562871702,93,46.7,-75.45,72.93,9.04
yantzaza,40,1562871702,30,-3.83,-78.76,84.2,18.34
yanahuanca,0,1562871703,27,-10.49,-76.52,51.69,7.56
kungurtug,100,1562871703,98,50.6,97.53,52.41,1.12
caxias,40,1562871704,46,-4.87,-43.35,89.6,8.05
kununurra,49,1562871491,71,-15.77,128.74,57.2,11.16
orlik,0,1562871704,52,53.95,17.74,66.0,8.05
steinbach,75,1562871705,57,49.53,-96.69,82.99,24.16
westport,75,1562871659,58,41.14,-73.36,86.0,12.75
ampanihy,16,1562871706,82,-24.69,44.75,62.49,2.86
ust-tsilma,53,1562871694,74,65.44,52.15,48.09,6.15
knysna,90,1562871410,82,-34.04,23.05,57.2,4.7
ambato,75,1562871707,59,-1.24,-78.63,87.8,6.93
aljezur,0,1562871708,77,37.31,-8.8,82.0,10.54
erdaojiang,99,1562871708,96,41.78,126.03,59.97,2.44
burnie,99,1562871644,82,-41.05,145.91,46.99,20.0
biak,99,1562871569,98,-0.91,122.88,61.95,4.27
staroye drozhzhanoye,65,1562871709,91,54.73,47.56,57.81,7.23
kandete,27,1562871710,95,-9.15,33.8,50.61,7.56
batagay-alyta,68,1562871710,75,67.8,130.41,54.21,1.36
raudeberg,40,1562871439,82,61.99,5.14,69.8,4.7
santa maria,0,1562871366,28,-16.02,-48.01,80.6,2.24
istmina,75,1562871711,77,5.16,-76.69,66.2,8.05
deputatskiy,20,1562871380,92,69.3,139.9,55.29,5.14
maralal,66,1562871703,68,1.1,36.7,66.09,19.3
ambilobe,98,1562871460,70,-13.19,49.05,71.67,5.91
jijiang,90,1562871713,100,29.8,120.61,77.0,2.24
mayo,90,1562871410,77,63.59,-135.9,60.8,1.57
tura,23,1562871338,92,64.27,100.22,49.53,2.64
walvis bay,75,1562871714,88,-22.95,14.51,62.6,6.93
san carlos,55,1562871378,52,11.12,-84.78,75.99,13.0
bud,12,1562871714,87,62.91,6.91,64.4,14.99
gat,3,1562871410,65,14.69,-16.54,82.4,14.99
zhireken,70,1562871715,57,52.82,117.29,65.55,2.55
haverhill,90,1562871716,68,52.08,0.44,75.99,13.87
cilegon,20,1562871716,69,-6.02,106.05,78.8,3.36
toora-khem,100,1562871716,99,52.47,96.11,52.95,4.18
dunmore town,92,1562871717,77,25.5,-76.65,84.27,9.4
festus,40,1562871717,54,38.22,-90.4,86.0,9.17
ixtapa,90,1562871590,58,20.71,-105.21,87.8,6.93
ostersund,0,1562871718,59,63.18,14.64,69.01,4.7
paidha,100,1562871668,96,2.42,30.99,61.59,2.35
maldonado,0,1562871719,72,-34.91,-54.96,62.6,2.24
nemea,53,1562871720,54,37.82,22.66,75.99,8.99
zeya,11,1562871720,89,53.74,127.27,59.25,3.02
svetlaya,100,1562871721,96,46.54,138.33,54.21,0.58
saldanha,0,1562871334,21,41.42,-6.55,92.37,2.55
taltal,32,1562871388,73,-25.41,-70.49,56.37,4.54
hervey bay,0,1562871722,81,-25.3,152.85,53.01,6.93
kamaishi,100,1562871616,96,39.28,141.86,54.21,3.31
sault sainte marie,90,1562871723,82,46.49,-84.36,60.8,12.75
esil,94,1562871723,44,51.96,66.41,73.83,9.35
alamosa,1,1562871724,29,37.47,-105.87,78.8,6.93
havelock,2,1562871312,62,34.88,-76.9,91.4,11.41
mahibadhoo,100,1562871724,69,3.78,72.97,84.63,7.78
fuyang,95,1562871613,65,32.89,115.81,74.37,4.63
maniitsoq,54,1562871421,83,65.42,-52.9,46.11,6.69
mangan,100,1562871700,94,27.5,88.54,58.89,0.11
gashua,26,1562871726,37,12.87,11.04,92.73,13.69
salcedo,20,1562871726,49,19.38,-70.42,95.0,9.17
mbaiki,99,1562871727,96,3.87,17.99,70.77,2.37
tezu,100,1562871727,98,27.93,96.16,68.61,2.82
nemuro,100,1562871415,91,43.32,145.57,52.41,13.8
sayyan,92,1562871597,49,15.17,44.32,74.19,5.12
grand gaube,20,1562871729,82,-20.01,57.66,68.0,6.93
powell river,75,1562871729,72,49.84,-124.52,68.0,3.4
san jeronimo,0,1562871446,38,-13.65,-73.37,60.8,8.01
haines junction,100,1562871730,46,60.75,-137.51,62.31,6.02
uporovo,56,1562871730,93,56.31,66.27,64.29,3.98
ouadda,99,1562871730,96,8.07,22.4,66.27,1.28
samarai,100,1562871426,84,-10.62,150.67,69.33,9.4
murwillumbah,0,1562871731,100,-28.33,153.4,53.6,2.24
huejuquilla el alto,20,1562871732,26,22.63,-103.9,84.81,4.47
raymond,40,1562871732,36,49.47,-112.67,78.01,20.8
emba,0,1562871364,88,34.81,32.42,84.0,8.05
linda,1,1562871733,37,39.13,-121.55,88.0,4.7
praia,0,1562871604,27,-20.25,-43.81,75.2,3.36
mago,100,1562871734,97,53.27,140.15,55.11,3.91
flin flon,90,1562871680,87,54.77,-101.88,57.2,5.82
najran,40,1562871560,14,17.54,44.22,93.2,4.7
merrill,1,1562871596,46,42.03,-121.6,79.0,4.7
sisimiut,44,1562871735,92,66.94,-53.67,41.25,7.45
udachnyy,90,1562871444,59,66.42,112.4,64.4,4.47
mizdah,0,1562871736,20,31.45,12.98,94.53,12.44
vozhega,74,1562871736,81,60.47,40.21,44.85,3.51
sagua de tanamo,86,1562871737,39,20.58,-75.24,94.17,3.18
madang,97,1562871737,91,35.32,102.79,35.85,0.43
jaguey grande,20,1562871738,62,22.53,-81.13,87.8,6.93
toamasina,40,1562871738,94,-18.17,49.38,69.8,1.21
sorland,90,1562871467,87,67.67,12.69,51.8,17.22
